"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2022年06月14日","2,095.0","2,080.5","2,121.5","2,080.0","26.80M","-1.71%"
"2022年06月13日","2,131.5","2,150.0","2,159.0","2,128.0","25.27M","-3.27%"
"2022年06月10日","2,203.5","2,211.0","2,232.0","2,196.0","28.52M","-1.59%"
"2022年06月09日","2,239.0","2,249.0","2,267.0","2,235.5","27.28M","0.40%"
"2022年06月08日","2,230.0","2,199.0","2,230.0","2,191.0","25.25M","1.80%"
"2022年06月07日","2,190.5","2,197.0","2,209.5","2,181.5","23.85M","1.27%"
"2022年06月06日","2,163.0","2,139.0","2,164.5","2,134.0","15.25M","-0.09%"
"2022年06月03日","2,165.0","2,198.0","2,198.0","2,153.0","19.81M","-1.28%"
"2022年06月02日","2,193.0","2,190.0","2,203.0","2,181.0","15.66M","-0.20%"
"2022年06月01日","2,197.5","2,140.0","2,208.0","2,135.5","35.21M","3.53%"
"2022年05月31日","2,122.5","2,109.0","2,133.5","2,107.5","27.51M","-0.19%"
"2022年05月30日","2,126.5","2,102.0","2,135.0","2,094.0","40.59M","2.04%"
"2022年05月27日","2,084.0","2,117.0","2,117.0","2,079.0","19.51M","0.10%"
"2022年05月26日","2,082.0","2,065.0","2,106.0","2,060.5","23.74M","1.88%"
"2022年05月25日","2,043.5","2,040.0","2,067.0","2,037.0","18.93M","-0.32%"
"2022年05月24日","2,050.0","2,064.5","2,078.0","2,050.0","18.72M","-0.56%"
"2022年05月23日","2,061.5","2,052.5","2,065.0","2,038.0","20.59M","0.66%"
"2022年05月20日","2,048.0","2,010.0","2,052.5","2,007.5","23.68M","2.14%"
"2022年05月19日","2,005.0","1,981.0","2,010.0","1,971.0","34.72M","-1.91%"
"2022年05月18日","2,044.0","2,035.0","2,054.0","2,025.5","21.89M","0.54%"
"2022年05月17日","2,033.0","2,025.5","2,047.0","2,016.5","22.47M","-0.81%"
"2022年05月16日","2,049.5","2,105.0","2,107.0","2,047.0","26.35M","-0.27%"
